event_name,event_date,event_location,event_section,event_link,scraped_at_utc,uid
[Postponed] VISHAL MISHRA LIVE IN CONCERT [G],"Saturday, December 6, 2025",The Star,The Star Events,https://www.thestar.sg/events/vishal-mishra-live-in-concert,2025-11-21 05:49:56+0000,"[Postponed] VISHAL MISHRA LIVE IN CONCERT [G] | Saturday, December 6, 2025 | The Star | https://www.thestar.sg/events/vishal-mishra-live-in-concert"
Malam Melukis Cinta,"Friday, January 16, 2026",The Star,The Star Events,https://www.thestar.sg/events/rizky-febian-malam-melukis-cinta,2025-11-21 05:49:56+0000,"Malam Melukis Cinta | Friday, January 16, 2026 | The Star | https://www.thestar.sg/events/rizky-febian-malam-melukis-cinta"
Men I Trust – Equus Tour 2026: Singapore,"Monday, January 26, 2026",The Star,The Star Events,https://www.thestar.sg/events/men-i-trust-equus-tour-2026-singapore,2025-11-21 05:49:56+0000,"Men I Trust – Equus Tour 2026: Singapore | Monday, January 26, 2026 | The Star | https://www.thestar.sg/events/men-i-trust-equus-tour-2026-singapore"
"Chak De Singapore, Sukhwinder Singh Live in Concert","Saturday, January 31, 2026",The Star,The Star Events,https://www.thestar.sg/events/chak-de-singapore-sukhwinder-singh-live-in-concert,2025-11-21 05:49:56+0000,"Chak De Singapore, Sukhwinder Singh Live in Concert | Saturday, January 31, 2026 | The Star | https://www.thestar.sg/events/chak-de-singapore-sukhwinder-singh-live-in-concert"
Dream Theater Live in Singapore,"Tuesday, February 3, 2026",The Star,The Star Events,https://www.thestar.sg/events/dream-theater-live-in-singapore,2025-11-21 05:49:56+0000,"Dream Theater Live in Singapore | Tuesday, February 3, 2026 | The Star | https://www.thestar.sg/events/dream-theater-live-in-singapore"
Michael Learns to Rock Encore All The Hits,"Thursday, February 5, 2026",The Star,The Star Events,https://www.thestar.sg/events/michael-learns-to-rock-encore-all-the-hits,2025-11-21 05:49:56+0000,"Michael Learns to Rock Encore All The Hits | Thursday, February 5, 2026 | The Star | https://www.thestar.sg/events/michael-learns-to-rock-encore-all-the-hits"
GIVĒON - DEAR BELOVED THE TOUR IN SINGAPORE,"Monday, February 9, 2026",The Star,The Star Events,https://www.thestar.sg/events/giveon-dear-beloved-the-tour-in-singapore,2025-11-21 05:49:56+0000,"GIVĒON - DEAR BELOVED THE TOUR IN SINGAPORE | Monday, February 9, 2026 | The Star | https://www.thestar.sg/events/giveon-dear-beloved-the-tour-in-singapore"
Josh Groban: GEMS World Tour in Singapore,"Friday, February 13, 2026",The Star,The Star Events,https://www.thestar.sg/events/josh-groban-gems-world-tour-in-singapore,2025-11-21 05:49:56+0000,"Josh Groban: GEMS World Tour in Singapore | Friday, February 13, 2026 | The Star | https://www.thestar.sg/events/josh-groban-gems-world-tour-in-singapore"
Muhammad: The Beginning,"Saturday, February 14, 2026",The Star,The Star Events,https://www.thestar.sg/events/muhammad-the-beginning,2025-11-21 05:49:56+0000,"Muhammad: The Beginning | Saturday, February 14, 2026 | The Star | https://www.thestar.sg/events/muhammad-the-beginning"
Peabo Bryson – The Golden Touch Tour,"Friday, March 6, 2026",The Star,The Star Events,https://www.thestar.sg/events/peabo-bryson-the-golden-touch-tour,2025-11-21 05:49:56+0000,"Peabo Bryson – The Golden Touch Tour | Friday, March 6, 2026 | The Star | https://www.thestar.sg/events/peabo-bryson-the-golden-touch-tour"
Monster Hunter Orchestra Concert,"Saturday, March 14, 2026",The Star,The Star Events,https://www.thestar.sg/events/monster-hunter-orchestra-concert,2025-11-21 05:49:56+0000,"Monster Hunter Orchestra Concert | Saturday, March 14, 2026 | The Star | https://www.thestar.sg/events/monster-hunter-orchestra-concert"
